Age,Gender,Annual_Income,Spending_Score,Previous_Purchases,Browsing_Time,Purchased
34,Male,165994,12,2,61,0
51,Female,156813,46,21,7,1
18,Male,186493,53,27,24,0
26,Male,70405,34,1,15,0
22,Female,139041,83,4,69,0
65,Female,188021,76,6,8,0
34,Female,159770,76,26,42,1
27,Female,146888,42,21,119,1
55,Female,161816,2,23,62,1
52,Male,81376,44,10,107,0
61,Male,109517,6,15,69,0
58,Female,142465,20,9,116,1
39,Female,196710,73,15,119,1
43,Female,28208,47,9,65,0
25,Male,59156,29,10,103,1
44,Female,74870,14,22,71,0
51,Female,114866,95,24,70,1
25,Female,86210,59,11,53,0
52,Male,158642,63,18,22,0
19,Female,157127,17,27,67,0
43,Male,148458,38,30,17,1
19,Female,62306,26,10,119,1
51,Female,32702,35,8,113,1
45,Female,65417,53,6,117,1
65,Female,181936,88,25,79,1
51,Male,192831,36,2,104,1
63,Female,153256,31,16,98,1
22,Male,118956,54,5,70,0
39,Female,27830,67,9,87,1
30,Male,88374,65,5,31,0
49,Male,139027,5,9,10,0
45,Male,113496,17,21,84,0
45,Female,31527,43,10,28,0
39,Male,94731,13,1,68,0
31,Male,57227,88,21,112,1
31,Female,127878,74,7,68,1
30,Female,68745,88,18,65,1
45,Male,42519,94,9,107,1
64,Male,152621,86,23,63,0
30,Male,114780,2,13,51,0
55,Female,145662,100,23,86,1
53,Female,193027,81,6,25,1
22,Female,76853,74,5,69,1
22,Male,193235,86,12,113,1
40,Female,105269,59,19,77,1
26,Female,28609,24,7,50,0
24,Male,58984,31,16,6,0
37,Female,163603,59,7,18,1
57,Female,110894,31,17,48,1
51,Male,32910,78,16,18,1
63,Female,191741,6,18,27,0
28,Female,166264,96,10,56,0
62,Male,157040,63,15,38,1
28,Female,185223,8,28,17,0
63,Female,187011,10,7,72,0
46,Male,158176,47,24,20,0
32,Female,155377,7,6,27,0
38,Male,109786,60,9,115,1
35,Male,128057,38,25,16,1
28,Male,79123,7,21,11,0
56,Female,159973,30,17,43,0
22,Female,166638,24,5,120,0
47,Male,187954,1,15,64,0
64,Female,111062,34,0,12,0
65,Female,76629,61,24,102,0
40,Female,188477,90,22,9,0
24,Male,177822,45,23,117,0
21,Male,86551,44,27,21,0
39,Male,43085,70,1,8,1
50,Female,83918,96,18,23,0
30,Male,176653,89,22,14,1
65,Male,55354,10,23,53,1
32,Female,152875,39,15,95,0
19,Male,100665,84,16,118,1
22,Male,142367,23,23,32,0
32,Female,24907,28,8,94,0
29,Female,179608,69,16,38,0
48,Male,51502,67,8,61,0
45,Male,40653,57,10,116,1
62,Male,92378,88,19,31,0
47,Female,114689,10,11,83,1
38,Female,85507,8,11,79,1
63,Male,144165,98,5,25,0
57,Male,152865,60,12,53,0
19,Male,138674,54,3,34,0
50,Female,76751,72,2,40,1
55,Female,54064,34,11,49,1
39,Female,192486,81,8,80,0
48,Male,50188,93,18,30,1
44,Female,171315,8,7,63,0
25,Female,168155,83,7,64,1
41,Male,104802,70,6,72,0
31,Female,149603,74,12,120,1
31,Male,163883,90,5,5,1
21,Female,128576,42,26,51,1
18,Female,132984,14,3,52,1
51,Male,72200,100,15,91,1
23,Male,88107,94,22,34,1
25,Male,16409,64,4,17,0
49,Female,162324,96,5,78,0
32,Male,191955,78,27,87,1
56,Female,130250,90,7,33,0
22,Male,80699,40,5,41,0
30,Male,39665,59,12,25,1
32,Female,160014,23,21,91,1
41,Male,89300,86,5,71,1
39,Female,24731,21,9,83,0
39,Female,95250,9,4,15,0
29,Female,83850,95,16,70,1
63,Male,120035,32,14,92,0
61,Male,166924,45,4,83,0
55,Female,137517,2,15,75,0
54,Male,72230,43,1,110,0
34,Male,103821,99,3,80,1
36,Male,182552,70,14,13,0
28,Female,28545,36,0,97,0
61,Female,144160,35,15,62,1
27,Male,83345,94,28,73,1
34,Male,66672,31,0,13,0
24,Male,39861,98,1,72,1
41,Male,164200,87,2,39,0
58,Female,33667,88,30,53,1
39,Male,109060,16,2,55,0
42,Female,27272,3,9,43,0
40,Female,57513,93,8,55,0
29,Female,187297,13,8,4,1
21,Female,177929,39,25,9,0
26,Male,92599,77,11,77,0
33,Female,146693,21,28,26,1
24,Female,73661,91,28,120,1
27,Male,128624,79,18,49,1
54,Female,138663,42,28,80,1
18,Female,23000,95,26,91,1
22,Male,145804,64,27,21,0
60,Female,46449,43,20,55,1
59,Male,125086,3,6,70,1
59,Male,121466,68,6,114,1
59,Male,133549,41,13,107,0
51,Male,30671,42,29,85,0
33,Male,161827,97,10,96,1
45,Male,142138,3,10,63,0
56,Male,63363,11,11,1,0
44,Male,15002,38,25,10,1
35,Male,63170,66,0,5,0
53,Female,60852,31,15,97,0
27,Female,199098,89,14,29,0
26,Male,105636,11,3,21,0
21,Female,67590,89,15,9,0
54,Male,181269,10,10,102,1
53,Female,79666,93,18,84,1
54,Female,19761,62,29,23,1
58,Male,66493,10,12,22,0
41,Male,166148,87,2,86,1
64,Female,139526,27,23,87,0
41,Female,112856,91,6,26,0
65,Female,181563,54,24,19,1
18,Female,143512,19,8,31,0
30,Female,174491,20,23,120,0
63,Male,91997,72,12,18,0
53,Male,92125,54,4,75,0
50,Male,164160,74,20,54,0
23,Male,176534,73,1,113,0
26,Female,35197,57,7,64,1
29,Female,67621,5,16,17,0
52,Female,122387,89,24,102,1
42,Male,110824,43,15,40,0
18,Female,135790,31,16,51,0
20,Female,121315,91,18,45,1
53,Female,96123,23,6,18,1
20,Female,15773,6,23,20,0
42,Female,113501,57,1,107,1
35,Female,73458,71,9,5,0
42,Female,87573,5,19,49,1
33,Female,41152,22,14,104,0
33,Female,158141,44,16,17,1
42,Male,150619,58,13,92,1
54,Male,29962,70,26,35,1
60,Male,77857,2,12,91,1
33,Female,144405,91,16,39,0
30,Male,154014,25,8,117,0
44,Male,51469,37,4,35,0
43,Female,62081,74,22,45,1
41,Female,88550,27,14,51,0
49,Female,41390,22,11,117,1
30,Male,174135,13,4,13,1
23,Female,96757,17,9,69,0
25,Female,105349,56,28,29,1
37,Male,67581,29,17,46,0
58,Male,48450,64,16,94,0
57,Female,83720,66,23,10,1
57,Female,60834,79,16,79,1
41,Female,85165,8,26,106,0
48,Female,47687,39,15,30,0
49,Female,19550,81,28,62,1
28,Female,57865,36,10,53,1
36,Male,15773,22,15,116,1
29,Female,72326,39,17,56,1
21,Male,129454,95,6,69,1
63,Female,94280,24,5,58,1
55,Male,24022,42,1,118,0
31,Female,57432,78,4,33,1
27,Female,37071,22,29,94,0
40,Male,167387,49,1,6,0
49,Female,181636,66,15,92,0
55,Male,132902,82,7,45,0
27,Female,184795,4,21,99,1
55,Male,107723,3,5,111,0
57,Female,173501,76,30,77,0
41,Female,34139,58,26,12,0
27,Female,196441,93,28,87,1
40,Female,172915,7,3,105,0
36,Male,108520,40,8,95,1
24,Female,119151,89,7,11,1
27,Male,15201,77,2,93,1
35,Female,174960,78,8,48,1
62,Female,114034,88,15,103,0
25,Female,133022,90,1,47,1
52,Female,34358,97,24,97,1
18,Male,195710,59,6,39,1
53,Female,19930,15,8,25,0
57,Female,23232,75,14,86,0
34,Female,32520,42,1,14,0
50,Male,141894,100,12,98,0
36,Female,183058,60,2,112,1
61,Female,106141,90,21,105,1
27,Male,129828,4,5,56,1
24,Female,107171,29,11,93,0
34,Male,18046,99,14,28,1
23,Male,54236,73,22,47,1
20,Male,66815,94,20,38,0
61,Male,178459,53,11,7,0
50,Male,197845,94,19,105,1
21,Male,89078,64,9,95,0
20,Male,190140,66,13,80,1
57,Male,48790,8,13,111,0
34,Female,104332,35,11,77,0
55,Female,60082,88,0,111,1
57,Female,86875,34,6,58,0
64,Female,130210,13,10,71,1
27,Female,77397,38,15,3,0
56,Male,139281,1,2,100,0
37,Male,187013,73,1,90,1
26,Male,138411,14,12,84,1
28,Female,61917,95,26,118,1
43,Male,195309,2,27,62,0
38,Female,192226,91,21,43,0
65,Male,156037,66,0,89,0
46,Female,39843,2,30,111,1
52,Male,101326,83,4,83,1
61,Male,44590,61,6,119,1
32,Male,178525,81,28,109,1
59,Female,189048,88,13,85,1
43,Female,18360,38,28,78,0
33,Male,186155,83,28,4,1
54,Male,66292,89,0,56,1
62,Male,182401,58,22,41,0
60,Male,139327,33,1,78,1
18,Female,101436,49,15,22,0
59,Female,39340,31,24,31,0
60,Female,58982,42,19,53,1
25,Male,118477,28,21,54,1
56,Male,103229,37,25,96,1
39,Female,109805,87,29,11,0
29,Male,32960,23,30,48,1
32,Male,94990,4,16,94,1
45,Male,62487,68,19,14,0
55,Male,41534,30,6,109,1
39,Male,152806,96,10,14,1
25,Male,188049,84,26,23,1
18,Male,117940,59,28,41,1
39,Male,127026,1,15,6,0
36,Female,133828,65,27,46,0
35,Male,83673,97,22,94,1
47,Male,188162,20,10,55,1
46,Female,18927,86,28,47,1
65,Male,102455,5,19,113,0
18,Female,65938,100,29,39,1
28,Female,39478,45,27,42,1
58,Female,140922,80,19,109,1
63,Male,84323,70,17,68,1
42,Female,191567,42,13,7,0
65,Male,196229,53,11,67,1
53,Male,46771,31,2,80,1
65,Female,65752,41,3,77,1
63,Male,41090,72,6,60,1
25,Male,156923,88,5,11,1
31,Male,68971,50,28,70,1
57,Male,98266,90,7,7,0
31,Male,86507,60,23,5,1
27,Female,189559,95,13,33,1
64,Female,140142,76,12,109,1
35,Male,32143,33,9,41,0
46,Male,169757,45,30,84,1
26,Female,89136,85,20,48,1
28,Female,127489,6,22,66,0
57,Male,194154,6,20,33,0
65,Male,16963,74,10,43,0
28,Female,158925,11,30,48,0
26,Female,155118,33,16,106,0
19,Female,76892,42,15,33,0
32,Male,117782,90,8,9,0
39,Male,190069,18,23,99,1
27,Male,140597,51,27,8,1
33,Female,116189,36,19,120,0
40,Female,170353,18,0,72,1
62,Male,90275,5,5,93,0
29,Male,17737,56,3,93,0
37,Female,111486,3,21,20,1
33,Male,50530,66,13,45,1
24,Male,99897,92,12,107,1
46,Male,55795,77,15,30,0
28,Male,48320,35,21,87,1
26,Male,137171,53,29,7,1
60,Male,170989,9,8,20,1
43,Female,122351,53,5,20,1
60,Female,131001,93,28,97,1
53,Female,15447,85,30,13,1
55,Female,54541,1,16,71,1
63,Female,180119,44,22,69,0
27,Male,39451,78,29,37,0
35,Female,194835,89,9,71,0
63,Male,151319,1,4,102,0
50,Male,79341,83,0,61,1
54,Male,177847,24,9,17,1
61,Male,109021,4,4,42,1
47,Female,121025,1,26,93,1
64,Female,27431,89,2,84,0
32,Male,173299,76,30,44,0
40,Female,17638,21,1,61,1
47,Female,90297,39,30,54,0
32,Female,116719,38,26,107,1
37,Male,151011,41,24,103,1
22,Female,117402,35,8,89,0
33,Female,135176,20,2,109,1
39,Male,167991,16,23,120,1
40,Female,163904,86,29,17,1
65,Male,180547,6,8,49,1
30,Male,69312,79,13,67,1
48,Female,51855,84,22,83,1
33,Male,107621,18,29,40,1
37,Male,141424,97,29,89,1
65,Female,71444,21,9,57,0
34,Male,99775,62,1,64,1
58,Male,137002,9,19,48,0
46,Male,184689,18,15,82,0
37,Female,177411,82,30,93,1
54,Female,58419,24,30,77,0
31,Female,44921,37,7,10,0
59,Male,109467,12,0,117,1
43,Male,86185,66,12,117,1
65,Female,181615,42,14,85,1
37,Male,37803,82,8,83,1
60,Male,135676,100,26,94,1
26,Female,134648,18,24,10,0
21,Male,164662,10,30,112,1
23,Female,59871,38,26,115,1
58,Male,45043,25,0,42,0
58,Male,165263,5,5,2,0
59,Male,192658,29,0,70,0
25,Male,119268,34,12,57,1
51,Female,158315,19,14,35,1
43,Male,107557,78,14,46,1
29,Female,68701,82,10,31,1
37,Female,24154,48,27,73,0
34,Male,20063,18,0,1,0
50,Female,97675,32,27,9,1
64,Male,178561,4,12,80,0
43,Male,55700,80,14,24,0
33,Female,68620,70,9,44,0
21,Male,151529,12,17,14,0
30,Female,59804,65,1,38,0
61,Female,151293,96,27,43,1
45,Female,87113,56,14,49,1
19,Male,128316,87,5,93,1
44,Male,69106,90,4,94,1
31,Female,198885,27,23,61,1
54,Male,16854,43,15,22,1
53,Female,53931,16,2,67,0
57,Female,137162,64,1,3,0
25,Male,83785,79,6,29,1
24,Female,166646,49,25,91,1
23,Female,143058,14,0,59,0
58,Male,26593,40,10,91,1
22,Male,57742,52,0,61,1
20,Male,181845,56,12,8,1
26,Male,191754,35,15,24,0
51,Male,192252,26,13,59,1
42,Male,39999,49,1,108,0
33,Female,123700,82,0,16,1
38,Male,149735,41,18,103,1
65,Female,181366,93,2,50,0
60,Female,26386,18,26,43,0
49,Male,99856,50,28,58,0
28,Female,157775,51,11,90,1
28,Male,187005,30,14,26,0
39,Male,110766,49,2,94,1
44,Female,185205,82,29,10,0
21,Male,133949,84,30,85,1
25,Female,142514,64,3,38,0
56,Female,20407,27,20,50,1
54,Male,124284,51,15,18,0
49,Male,74122,3,7,68,1
59,Male,44736,36,22,4,0
41,Male,59848,3,7,34,0
28,Female,79636,35,11,60,0
33,Female,44374,28,7,37,0
44,Female,61090,67,11,85,0
40,Male,68439,50,13,13,0
58,Male,55833,6,16,63,0
37,Male,149392,92,8,20,0
61,Female,163249,69,20,104,1
31,Female,153459,70,1,95,0
48,Male,93511,93,12,96,1
45,Male,75377,22,12,69,0
49,Male,140352,93,9,72,0
63,Male,182897,37,13,65,0
30,Female,188611,42,30,111,0
22,Female,190143,76,3,36,1
47,Male,135300,21,6,78,0
28,Female,171470,21,9,20,0
47,Male,129882,40,29,68,0
28,Male,120442,27,16,66,0
49,Female,71282,81,30,49,1
51,Male,122923,27,4,75,0
53,Female,150030,69,8,113,0
39,Male,145263,2,30,3,0
39,Male,69316,32,4,111,1
37,Female,107929,88,1,61,1
62,Female,82288,74,2,109,0
24,Female,194636,21,8,78,1
55,Male,34933,75,17,68,0
47,Male,194902,66,27,10,1
30,Male,182059,46,2,24,0
56,Male,54550,72,6,100,0
39,Female,189960,89,11,67,0
41,Female,121618,85,14,93,1
45,Male,124520,71,6,92,0
48,Male,30943,96,6,15,0
42,Male,113320,60,10,93,1
65,Female,165261,18,30,97,1
27,Male,24822,7,19,18,1
39,Male,55592,39,25,113,1
65,Female,179287,68,3,31,1
38,Female,167045,20,22,100,1
26,Female,63931,50,19,63,1
58,Male,94712,80,23,49,1
19,Male,197042,60,19,23,0
19,Female,54411,96,10,38,0
65,Female,163197,52,2,104,1
62,Female,106742,23,15,71,1
55,Male,88399,88,30,85,1
59,Female,180710,12,25,27,0
34,Female,144985,50,25,22,0
44,Male,108324,57,2,31,1
47,Male,187358,54,7,84,1
62,Male,122689,79,12,28,1
37,Female,134250,27,7,87,0
42,Male,23327,32,20,105,0
57,Female,114249,52,8,26,0
55,Male,167687,91,15,26,0
36,Female,68249,46,14,49,1
44,Male,25568,62,5,6,0
36,Female,15386,90,26,56,1
47,Female,22256,39,26,77,1
23,Male,71495,58,9,84,1
29,Male,158866,66,3,97,0
59,Male,25698,11,17,49,0
31,Male,16577,61,5,119,0
64,Female,114162,71,18,55,0
38,Male,17036,36,22,63,1
23,Male,99412,96,8,18,1
40,Male,26790,99,4,94,1
63,Female,85809,91,24,17,0
48,Male,34836,66,7,9,1
26,Female,94216,30,2,60,0
40,Female,93690,21,30,42,1
34,Male,105066,22,16,25,0
26,Female,22290,44,1,89,0
52,Female,136148,47,10,64,0
38,Female,93230,29,5,22,0
46,Male,143541,55,27,15,1
52,Male,43742,15,11,30,0
25,Female,120403,77,23,117,1
20,Male,80938,33,23,25,0
18,Female,40914,30,24,53,1
26,Male,60229,69,24,32,1
49,Female,78177,61,7,14,1
33,Male,19335,32,15,32,0
20,Male,193679,27,2,62,0
23,Male,189300,21,23,64,1
61,Female,186015,62,3,64,1
65,Female,43328,39,26,35,1
43,Male,84971,52,17,120,0
46,Male,73411,45,17,81,0
26,Male,85220,36,4,59,0
22,Female,103485,79,7,91,1
38,Female,127039,31,20,112,1
23,Female,29671,70,20,18,1
58,Female,98511,83,11,105,0
52,Female,126287,4,2,95,0
44,Female,131403,14,28,94,1
59,Female,99642,68,11,35,1
28,Female,152052,86,8,91,1
37,Female,158850,87,28,67,1
57,Male,52815,31,13,30,0
20,Female,60160,82,17,102,1
47,Male,145465,73,27,108,0
45,Female,193338,66,18,84,1
21,Female,23989,42,7,67,0
49,Male,160683,37,10,119,0
54,Female,85537,15,7,30,0
47,Female,172498,84,26,26,0
55,Male,33497,15,28,98,1
34,Female,36915,81,28,114,1
57,Male,40045,91,25,74,1
62,Male,106069,21,25,118,1
35,Male,160275,39,1,32,0
48,Male,50013,5,23,59,0
44,Male,112986,99,18,43,1
39,Male,87653,6,0,96,0
40,Female,198021,4,18,81,0
59,Female,75651,16,21,118,1
64,Male,117059,38,26,48,0
24,Female,104835,90,30,109,1
19,Male,70267,62,23,55,1
55,Male,154396,60,15,39,0
53,Female,50884,46,28,1,0
56,Female,97340,33,16,66,1
25,Male,77015,56,23,55,0
30,Male,113644,66,11,16,0
62,Male,194125,88,0,113,1
41,Male,41656,68,5,82,1
64,Female,64021,89,15,25,0
18,Male,81067,5,20,6,0
40,Female,41322,40,30,38,1
36,Male,164213,3,30,66,0
52,Male,46221,33,26,14,0
26,Female,83808,92,17,106,1
35,Male,164821,20,27,57,0
47,Female,31624,70,29,10,1
30,Female,167915,61,30,113,1
63,Female,71276,14,8,72,1
40,Female,133338,93,4,6,1
39,Female,23477,65,6,16,1
61,Female,44006,55,2,46,0
22,Female,85738,97,11,64,1
43,Female,162181,47,7,1,0
30,Male,173865,7,14,43,0
46,Female,18011,77,25,38,0
48,Male,175595,39,9,89,0
39,Female,106268,4,2,98,1
25,Male,65747,17,19,17,0
23,Female,164077,63,23,17,1
38,Female,113951,46,13,46,0
18,Male,124238,49,9,103,0
41,Female,159848,23,25,27,1
60,Female,82715,50,7,35,1
64,Female,31836,98,27,112,1
32,Male,120065,24,3,120,1
31,Female,185020,39,2,61,1
44,Male,135051,39,21,78,1
48,Female,158480,52,9,109,0
63,Female,92050,99,3,96,1
37,Male,180192,79,14,74,1
40,Female,176101,98,16,90,1
32,Female,38187,26,21,67,1
38,Female,74771,66,15,31,1
58,Female,46535,25,28,69,0
43,Female,78506,74,20,19,1
38,Male,40184,53,27,110,1
44,Female,124100,69,23,83,1
37,Male,52199,59,14,23,0
22,Female,172770,83,6,71,0
23,Male,76010,99,20,52,1
26,Female,137741,93,0,75,0
26,Male,176278,62,21,25,1
53,Female,121770,93,24,70,1
55,Male,132303,4,11,115,0
20,Male,74988,29,22,3,1
33,Female,74023,50,10,57,0
54,Female,82501,8,5,8,0
34,Male,90571,81,14,94,0
49,Female,124723,98,11,75,1
49,Male,94164,83,14,105,0
29,Female,29404,1,19,112,0
64,Male,99043,71,17,8,1
36,Male,199708,26,10,21,0
54,Female,146603,30,24,33,1
61,Male,190985,3,30,6,0
31,Female,127012,57,7,10,1
55,Female,86815,7,22,112,0
50,Female,114920,7,9,58,0
28,Female,53564,37,2,110,1
41,Female,193446,13,4,24,0
55,Female,21982,15,26,114,0
37,Male,67292,69,18,89,1
21,Male,82410,23,3,73,0
38,Female,72714,89,20,102,1
22,Female,162046,18,27,66,1
63,Male,109213,40,6,119,0
18,Male,60446,58,28,21,0
57,Female,91176,73,1,80,1
54,Female,168587,12,20,22,0
25,Female,195116,17,10,69,0
28,Female,63523,10,8,87,0
29,Female,142093,70,21,7,1
41,Male,122980,94,8,113,1
41,Female,199586,53,27,87,1
23,Female,138779,35,29,65,1
18,Male,140200,85,13,11,1
48,Female,48140,80,18,17,1
36,Female,170248,47,9,60,0
50,Male,42278,18,29,104,0
26,Male,37066,90,10,4,0
34,Female,53617,80,26,71,0
45,Female,59395,51,19,71,0
47,Male,87297,17,27,19,0
21,Male,135059,11,28,88,1
64,Male,166306,8,9,101,0
41,Male,128160,32,5,30,1
47,Male,21074,11,29,19,1
43,Female,178254,56,19,97,0
50,Female,65391,70,22,87,0
40,Male,178853,47,21,97,0
63,Female,182625,100,16,68,0
18,Male,41403,26,10,17,0
32,Female,116760,84,15,57,1
36,Male,70681,69,25,12,1
49,Male,157090,5,24,61,0
28,Female,194487,35,6,33,1
53,Male,93960,91,14,1,1
18,Male,159317,89,29,79,1
61,Male,195011,14,19,65,0
56,Male,198880,90,25,35,0
22,Male,97774,71,11,11,1
58,Female,66663,48,22,100,1
31,Female,118481,97,0,94,1
63,Female,136658,40,30,59,1
18,Female,60919,94,3,6,1
64,Male,49535,92,25,99,0
31,Male,190380,82,12,63,0
33,Female,51821,88,24,104,1
30,Female,195306,76,23,64,1
37,Male,90619,44,19,3,1
47,Male,176014,3,29,116,1
52,Female,154940,35,26,41,0
49,Female,89619,31,9,114,1
50,Male,67856,22,26,72,0
53,Female,72370,49,29,63,0
34,Male,95221,24,10,106,0
58,Female,174062,25,29,5,1
63,Male,48846,19,0,68,0
58,Female,122758,24,8,101,1
51,Female,186778,22,23,44,1
19,Male,25727,84,20,53,0
45,Male,40317,1,29,23,0
34,Female,154808,9,11,67,0
64,Male,141780,56,14,61,1
59,Female,15010,82,1,47,1
29,Female,191298,87,0,102,1
52,Male,104059,37,7,9,0
63,Female,37385,24,27,60,0
27,Male,186639,92,10,99,1
54,Male,113495,6,3,62,1
42,Female,173286,28,3,10,0
26,Male,86875,19,11,96,1
42,Female,190675,93,24,47,1
36,Male,33857,30,11,66,0
33,Male,188684,11,30,68,0
55,Male,148841,24,3,16,1
31,Female,125040,22,30,103,1
20,Male,181756,95,26,108,1
29,Male,118335,42,23,66,1
24,Male,80652,79,11,74,1
62,Female,117897,63,6,10,0
31,Male,61496,38,28,14,0
25,Male,32160,16,6,120,1
52,Male,135846,64,17,92,1
33,Female,132855,86,8,53,0
35,Male,78079,13,3,1,0
40,Female,181851,35,9,80,0
52,Female,48693,38,18,64,0
57,Female,185430,61,21,56,1
45,Male,64453,86,21,98,1
43,Female,101811,88,3,83,1
49,Male,25492,18,23,96,1
23,Female,175584,24,12,91,0
60,Male,192885,72,20,78,1
19,Male,114692,59,1,22,0
56,Male,38551,47,10,55,1
18,Male,146807,67,8,92,1
35,Female,190239,2,8,9,0
49,Male,198844,28,7,11,0
23,Female,59537,29,19,120,0
57,Male,179406,88,1,23,0
43,Female,27045,4,2,105,0
54,Female,83079,6,14,46,0
29,Male,36198,81,10,113,0
27,Female,189164,26,8,28,0
56,Female,57544,11,22,63,0
61,Female,85414,43,5,103,0
35,Male,33026,26,29,40,0
52,Male,76269,11,20,18,0
21,Male,54661,9,16,76,0
64,Male,30338,100,21,96,1
45,Female,109503,49,12,88,1
19,Female,150707,36,18,103,0
52,Male,143804,57,26,41,1
29,Male,57093,1,15,11,0
53,Male,104356,80,17,80,0
34,Male,126999,39,0,38,0
49,Female,27798,4,11,50,0
65,Male,179426,49,25,39,1
57,Female,134841,13,10,42,0
61,Female,21618,27,14,113,0
35,Female,108778,43,11,78,1
60,Female,32690,58,23,44,0
37,Male,108106,61,24,48,1
48,Male,86850,70,5,103,1
21,Male,115385,72,13,55,1
48,Female,128647,92,1,37,1
54,Female,197124,23,22,40,0
36,Male,18907,67,4,85,0
30,Female,167702,28,6,54,0
25,Male,63887,86,5,56,0
53,Female,20633,7,28,31,0
22,Male,111043,39,16,1,0
65,Female,125909,59,8,20,0
21,Male,39986,67,11,3,0
35,Female,38751,47,6,52,0
45,Female,18216,23,16,38,0
60,Male,34773,92,23,76,0
31,Male,156829,13,4,17,1
59,Male,32211,5,4,109,1
58,Female,72295,19,23,101,0
41,Male,135772,21,26,5,0
31,Female,67184,43,30,77,1
26,Male,95055,56,30,65,1
58,Female,187822,5,19,38,1
53,Male,161364,88,18,96,1
59,Male,121417,86,9,53,0
64,Female,22695,12,25,15,1
46,Male,40526,41,21,22,0
63,Female,63120,29,17,110,1
19,Male,159479,94,4,80,1
30,Male,147550,97,28,92,1
42,Female,164535,45,23,4,1
48,Female,196258,98,1,73,1
65,Male,55992,83,14,79,0
34,Female,89666,21,12,54,1
19,Female,56136,67,22,40,1
22,Male,184125,66,18,48,0
65,Male,181692,4,23,40,0
32,Female,100725,33,7,25,0
50,Male,171418,18,30,81,1
60,Female,41871,41,17,66,1
